epoch,loss,iou,pd,fa
0,0.928046,0.068023,0.70068,0.00199974
1,0.773235,0.332847,0.744898,0.00016094
2,0.694851,0.335365,0.816327,0.00019996
3,0.669107,0.394258,0.843537,0.00013262
4,0.641002,0.40878,0.863946,0.00012845
5,0.631691,0.40789,0.843537,0.00013498
6,1.48957,0.47325,0.816327,4.327e-05
7,1.077727,0.444171,0.87415,0.0001056
8,1.0087,0.470976,0.870748,5.185e-05
9,0.985489,0.517575,0.857143,4.752e-05
10,0.983438,0.473219,0.867347,7.432e-05
11,0.945687,0.523258,0.887755,5.42e-05
12,0.928138,0.5,0.85034,7.386e-05
13,0.907397,0.553798,0.846939,1.632e-05
14,0.91685,0.552282,0.908163,4.631e-05
15,0.897326,0.560456,0.87415,3.614e-05
16,0.931762,0.51044,0.887755,4.471e-05
17,0.898707,0.563016,0.867347,2.346e-05
18,0.894342,0.564337,0.897959,3.188e-05
19,0.893128,0.563579,0.877551,1.587e-05
20,0.882292,0.541755,0.908163,3.925e-05
21,0.861728,0.571843,0.904762,1.943e-05
22,0.859742,0.55905,0.897959,2.71e-05
23,0.855669,0.570356,0.891156,2.604e-05
24,0.876291,0.591681,0.904762,2.794e-05
25,0.851464,0.595083,0.921769,3.386e-05
26,0.851492,0.621432,0.914966,2.224e-05
27,0.827568,0.577655,0.894558,1.511e-05
28,0.882341,0.540561,0.935374,7.273e-05
29,0.827494,0.580272,0.901361,2.065e-05
30,0.84387,0.564867,0.914966,2.323e-05
31,0.865736,0.57694,0.867347,1.67e-05
32,0.862403,0.594735,0.921769,3.325e-05
33,0.832314,0.57401,0.901361,2.771e-05
34,0.838102,0.559029,0.884354,2.406e-05
35,0.835526,0.578516,0.891156,2.444e-05
36,0.848839,0.571398,0.901361,2.756e-05
37,0.86912,0.576789,0.887755,2.741e-05
38,0.837154,0.597634,0.92517,5.944e-05
39,0.836164,0.593953,0.891156,2.315e-05
40,0.832108,0.578805,0.901361,1.997e-05
41,0.848678,0.573222,0.904762,2.27e-05
42,0.824225,0.581355,0.897959,2.103e-05
43,0.834978,0.589945,0.904762,2.657e-05
44,0.806981,0.591127,0.908163,3.355e-05
45,0.819097,0.584995,0.914966,4.487e-05
46,0.834481,0.595979,0.928571,3.257e-05
47,0.814854,0.578082,0.918367,3.887e-05
48,0.832058,0.592792,0.931973,5.375e-05
49,0.819688,0.585607,0.938776,5.937e-05
50,0.818775,0.599574,0.928571,3.006e-05
51,0.788355,0.602599,0.918367,1.435e-05
52,0.821346,0.610703,0.914966,3.462e-05
53,0.823878,0.601431,0.894558,1.23e-05
54,0.807126,0.614156,0.887755,2.103e-05
55,0.805798,0.60113,0.904762,1.617e-05
56,0.827902,0.607955,0.911565,2.05e-05
57,0.810377,0.60021,0.918367,4.016e-05
58,0.817087,0.612129,0.904762,1.837e-05
59,0.803555,0.613573,0.92517,4.054e-05
60,0.785965,0.600133,0.918367,1.746e-05
61,0.808893,0.593235,0.935374,3.484e-05
62,0.807872,0.586089,0.935374,3.53e-05
63,0.79316,0.604617,0.935374,4.001e-05
64,0.796108,0.611238,0.880952,1.67e-05
65,0.811125,0.627361,0.914966,1.45e-05
66,0.791316,0.610926,0.931973,4.95e-05
67,0.802306,0.596704,0.935374,4.995e-05
68,0.798002,0.600364,0.908163,1.746e-05
69,0.76913,0.582126,0.911565,5.162e-05
70,0.798875,0.605154,0.904762,7.59e-06
71,0.785963,0.629293,0.921769,1.784e-05
72,0.784738,0.623617,0.931973,8.5e-06
73,0.820218,0.601489,0.914966,3.507e-05
74,0.853444,0.477448,0.884354,1.822e-05
75,0.864438,0.536774,0.918367,2.406e-05
76,0.827875,0.548504,0.908163,2.589e-05
77,0.811279,0.577331,0.92517,2.475e-05
78,0.815792,0.568145,0.908163,1.078e-05
79,0.777353,0.567177,0.911565,2.627e-05
80,0.79306,0.581193,0.918367,2.718e-05
81,0.811586,0.584093,0.911565,1.45e-05
82,0.812903,0.604162,0.92517,1.511e-05
83,0.806025,0.583262,0.935374,3.674e-05
84,0.784204,0.587633,0.918367,2.05e-05
85,0.789643,0.597507,0.931973,3.333e-05
86,0.774343,0.59437,0.894558,9.19e-06
87,0.791716,0.58728,0.918367,1.822e-05
88,0.801702,0.599089,0.897959,1.108e-05
89,0.803736,0.620141,0.921769,2.209e-05
90,0.763095,0.616333,0.92517,4.327e-05
91,0.779058,0.60159,0.92517,1.898e-05
92,0.787998,0.587209,0.928571,4.487e-05
93,0.788951,0.599609,0.92517,2.186e-05
94,0.78584,0.601691,0.92517,1.928e-05
95,0.785281,0.598333,0.887755,7.52e-06
96,0.793123,0.621471,0.918367,2.938e-05
97,0.780606,0.602407,0.935374,2.338e-05
98,0.773721,0.58213,0.914966,1.526e-05
99,0.773907,0.575678,0.914966,2.194e-05
100,0.790392,0.605418,0.931973,2.285e-05
101,0.775724,0.598795,0.931973,2.239e-05
102,0.777237,0.568203,0.897959,1.761e-05
103,0.801893,0.60291,0.921769,2.961e-05
104,0.795809,0.60267,0.914966,2.505e-05
105,0.786424,0.609783,0.921769,2.406e-05
106,0.804642,0.609649,0.914966,2.551e-05
107,0.77079,0.598332,0.938776,3.697e-05
108,0.78193,0.604286,0.931973,3.006e-05
109,0.801728,0.618465,0.942177,3.765e-05
110,0.790693,0.60862,0.931973,2.528e-05
111,0.780401,0.618004,0.931973,2.558e-05
112,0.774847,0.598891,0.928571,5.261e-05
113,0.778851,0.599463,0.911565,2.088e-05
114,0.79558,0.592332,0.904762,1.199e-05
115,0.769123,0.623732,0.931973,2.513e-05
116,0.778295,0.59582,0.918367,2.262e-05
117,0.748291,0.61276,0.928571,2.847e-05
118,0.768131,0.603284,0.918367,2.756e-05
119,0.772106,0.617848,0.92517,2.232e-05
120,0.782328,0.61427,0.921769,2.255e-05
121,0.761351,0.613823,0.921769,1.693e-05
122,0.761318,0.596376,0.918367,1.693e-05
123,0.765096,0.610381,0.92517,1.412e-05
124,0.756312,0.630356,0.928571,1.579e-05
125,0.740515,0.602173,0.938776,4.934e-05
126,0.745082,0.613097,0.931973,2.999e-05
127,0.812774,0.596171,0.914966,1.602e-05
128,0.764644,0.594512,0.931973,2.589e-05
129,0.776989,0.610635,0.918367,1.602e-05
130,0.757903,0.611086,0.904762,1.07e-05
131,0.778746,0.60493,0.931973,3.34e-05
132,0.762938,0.601369,0.928571,2.156e-05
133,0.754022,0.607918,0.921769,1.928e-05
134,0.764932,0.619206,0.931973,1.321e-05
135,0.758093,0.614458,0.92517,1.609e-05
136,0.778102,0.609287,0.931973,2.186e-05
137,0.774755,0.616983,0.931973,1.42e-05
138,0.756437,0.616978,0.918367,1.177e-05
139,0.756244,0.606082,0.857143,3.11e-06
140,0.769706,0.623786,0.92517,2.035e-05
141,0.779209,0.631072,0.897959,1.336e-05
142,0.75229,0.617177,0.914966,1.723e-05
143,0.760437,0.607572,0.880952,7.74e-06
144,0.764851,0.620845,0.921769,1.199e-05
145,0.784266,0.635393,0.914966,3.181e-05
146,0.781762,0.629596,0.921769,1.875e-05
147,0.780332,0.652015,0.928571,2.573e-05
148,0.763723,0.63538,0.914966,2.3e-05
149,0.756901,0.62692,0.894558,1.161e-05
150,0.805882,0.62562,0.938776,3.818e-05
