epoch,loss,iou,pd,fa
0,0.993652,0.000284,0.105442,0.15972627
1,0.928757,0.010445,0.513605,0.01425148
2,0.799352,0.34932,0.772109,0.00012283
3,0.7107,0.39589,0.734694,5.291e-05
4,0.665744,0.468196,0.880952,5.344e-05
5,0.620989,0.490963,0.884354,5.352e-05
6,1.524912,0.44161,0.877551,0.00014598
7,0.993203,0.441394,0.860544,0.00015039
8,0.903218,0.460188,0.887755,8.426e-05
9,0.850029,0.51157,0.891156,4.008e-05
10,0.867816,0.541786,0.880952,5.709e-05
11,0.831049,0.510867,0.880952,4.524e-05
12,0.828124,0.542675,0.870748,5.185e-05
13,0.804502,0.542024,0.819728,7.29e-06
14,0.816358,0.576999,0.884354,3.849e-05
15,0.816582,0.488775,0.904762,0.00010294
16,0.806838,0.568095,0.833333,2.672e-05
17,0.766287,0.583151,0.904762,4.061e-05
18,0.799959,0.570276,0.914966,5.322e-05
19,0.788905,0.580222,0.901361,1.64e-05
20,0.768061,0.544854,0.931973,7.948e-05
21,0.78321,0.572377,0.938776,5.929e-05
22,0.772095,0.587187,0.92517,5.451e-05
23,0.760063,0.595053,0.918367,4.023e-05
24,0.74165,0.570535,0.938776,5.914e-05
25,0.765953,0.581784,0.92517,3.818e-05
26,0.75228,0.601237,0.938776,4.441e-05
27,0.734932,0.613426,0.942177,3.917e-05
28,0.759368,0.633297,0.935374,2.452e-05
29,0.748035,0.634917,0.914966,1.959e-05
30,0.722239,0.626306,0.887755,2.437e-05
31,0.727824,0.631807,0.914966,3.249e-05
32,0.725909,0.633775,0.935374,3.773e-05
33,0.749311,0.61965,0.945578,3.409e-05
34,0.731243,0.628422,0.942177,3.355e-05
35,0.737706,0.605081,0.918367,3.044e-05
36,0.736116,0.616476,0.894558,1.048e-05
37,0.746408,0.631906,0.911565,2.179e-05
38,0.730999,0.644378,0.901361,1.488e-05
39,0.740743,0.625602,0.918367,2.331e-05
40,0.733323,0.621366,0.918367,1.974e-05
41,0.747268,0.624472,0.914966,1.64e-05
42,0.705887,0.634079,0.914966,9.57e-06
43,0.723911,0.610969,0.928571,3.5e-05
44,0.719242,0.641015,0.938776,2.05e-05
45,0.695017,0.59321,0.942177,5.041e-05
46,0.746704,0.631243,0.918367,1.678e-05
47,0.712853,0.627314,0.914966,1.678e-05
48,0.733231,0.604953,0.952381,4.312e-05
49,0.732784,0.633472,0.928571,2.551e-05
