epoch,loss,iou,pd,fa
0,0.982569,0.000935,0.431973,0.20972074
1,0.908388,0.001495,0.465986,0.10706075
2,0.865934,0.001154,0.527211,0.14660834
3,0.821113,0.051505,0.765306,0.00335739
4,0.794648,0.134789,0.690476,0.00087324
5,0.760127,0.220074,0.751701,0.00037616
6,1.668983,0.262301,0.744898,0.00032453
7,1.65186,0.377322,0.632653,4.843e-05
8,1.590463,0.390993,0.639456,3.097e-05
9,1.576763,0.418805,0.673469,4.259e-05
10,1.526795,0.40064,0.690476,5.01e-05
11,1.39983,0.451627,0.765306,5.109e-05
12,1.372104,0.37877,0.731293,0.00013816
13,1.370792,0.444814,0.77551,7.675e-05
14,1.344511,0.411489,0.809524,0.00013756
15,1.329276,0.428374,0.843537,0.00011281
16,1.314261,0.446724,0.778912,2.095e-05
17,1.18576,0.473305,0.77551,2.118e-05
18,1.157222,0.50819,0.85034,6.597e-05
19,1.141389,0.519812,0.789116,3.894e-05
20,1.133407,0.447707,0.846939,0.00012609
21,1.0784,0.504903,0.853741,8.578e-05
22,1.093791,0.488501,0.826531,2.186e-05
23,1.100828,0.540832,0.857143,3.659e-05
24,1.08482,0.521096,0.860544,5.253e-05
25,1.083151,0.498736,0.829932,6.893e-05
26,1.1041,0.524096,0.863946,5.306e-05
27,1.023197,0.479379,0.877551,9.679e-05
28,1.014021,0.515114,0.857143,4.532e-05
29,0.956333,0.526956,0.853741,1.488e-05
30,0.9649,0.550875,0.870748,2.444e-05
31,0.940583,0.544724,0.870748,2.202e-05
32,0.945218,0.535933,0.853741,2.072e-05
33,0.957809,0.509138,0.829932,1.321e-05
34,0.942853,0.525892,0.867347,3.773e-05
35,0.903796,0.558361,0.85034,2.596e-05
36,0.912408,0.559682,0.867347,3.105e-05
37,0.927787,0.569961,0.880952,2.528e-05
38,0.906935,0.552416,0.894558,3.15e-05
39,0.914401,0.559051,0.836735,1.344e-05
40,0.924375,0.471733,0.867347,0.00012913
41,0.888248,0.548544,0.884354,4.843e-05
42,0.893816,0.555885,0.863946,2.49e-05
43,0.889761,0.564534,0.891156,1.966e-05
44,0.884648,0.460737,0.823129,1.617e-05
45,0.856911,0.555944,0.911565,3.72e-05
46,0.903916,0.569029,0.884354,2.938e-05
47,0.877703,0.566703,0.887755,2.103e-05
48,0.877033,0.567082,0.877551,3.5e-05
49,0.849914,0.573503,0.867347,1.738e-05
