epoch,loss,iou,pd,fa
0,0.933099,0.003281,0.503401,0.03789311
1,0.870241,0.001639,0.598639,0.09567785
2,0.812294,0.00571,0.717687,0.02444671
3,0.76655,0.003482,0.687075,0.05087569
4,0.764791,0.001678,0.751701,0.0973384
5,0.752766,0.002403,0.758503,0.08137284
6,1.675812,0.318884,0.646259,0.00012647
7,1.606381,0.396593,0.670068,3.226e-05
8,1.567073,0.354096,0.727891,0.00013961
9,1.550426,0.463748,0.741497,4.228e-05
10,1.549874,0.411154,0.741497,9.011e-05
11,1.538032,0.475078,0.741497,3.667e-05
12,1.526532,0.438033,0.738095,3.28e-05
13,1.510308,0.39266,0.778912,0.00013551
14,1.37403,0.399787,0.77551,0.00011881
15,1.232269,0.459475,0.812925,6.058e-05
16,1.00897,0.458499,0.748299,2.293e-05
17,0.967636,0.486036,0.748299,1.997e-05
18,0.882774,0.505345,0.826531,5.443e-05
19,0.915209,0.475339,0.816327,5.231e-05
20,0.906466,0.473484,0.843537,4.707e-05
21,0.872721,0.333254,0.598639,1.291e-05
22,0.924857,0.48937,0.880952,5.261e-05
23,0.841368,0.481725,0.795918,2.627e-05
24,0.877783,0.521259,0.884354,4.919e-05
25,0.841965,0.53323,0.823129,1.936e-05
26,0.841849,0.541063,0.853741,4.137e-05
27,0.838347,0.548829,0.823129,2.573e-05
28,0.832453,0.535269,0.829932,2.148e-05
29,0.829297,0.565227,0.853741,3.454e-05
30,0.791047,0.541088,0.840136,1.723e-05
31,0.798067,0.516999,0.867347,4.388e-05
32,0.802028,0.514458,0.867347,3.469e-05
33,0.787628,0.53897,0.87415,3.082e-05
34,0.795272,0.568031,0.887755,4.099e-05
35,0.770068,0.517808,0.894558,8.396e-05
36,0.778776,0.576527,0.891156,2.369e-05
37,0.793256,0.556541,0.863946,4.061e-05
38,0.799974,0.603644,0.840136,1.526e-05
39,0.768519,0.577362,0.863946,2.05e-05
40,0.759228,0.58279,0.911565,3.97e-05
41,0.782523,0.490995,0.908163,0.00010279
42,0.779456,0.549301,0.908163,4.145e-05
43,0.779588,0.556888,0.901361,2.11e-05
44,0.749432,0.529668,0.894558,8.024e-05
45,0.75297,0.588696,0.880952,4.054e-05
46,0.769618,0.573139,0.911565,3.545e-05
47,0.787831,0.542152,0.846939,4.988e-05
48,0.788567,0.542962,0.812925,5.701e-05
49,0.796913,0.538256,0.765306,1.26e-05
