epoch,loss,iou,pd,fa
0,0.951988,0.048638,0.622449,0.00273102
1,0.855448,0.000984,0.612245,0.11476864
2,0.831765,0.000902,0.646259,0.15938382
3,0.799703,0.002926,0.819728,0.06932857
4,0.719576,0.282399,0.778912,0.00032173
5,0.668404,0.444004,0.785714,0.00011008
6,1.575343,0.437804,0.778912,6.574e-05
7,1.294963,0.44442,0.72449,1.981e-05
8,1.212937,0.440609,0.802721,7.804e-05
9,1.194536,0.455325,0.70068,3.545e-05
10,1.198273,0.483155,0.795918,5.215e-05
11,1.200716,0.514292,0.806122,2.892e-05
12,1.162502,0.526864,0.870748,3.743e-05
13,1.147013,0.521252,0.829932,4.061e-05
14,1.142901,0.521424,0.853741,3.181e-05
15,1.145652,0.525161,0.836735,3.166e-05
16,1.126698,0.553154,0.863946,2.088e-05
17,1.128535,0.566951,0.884354,4.403e-05
18,0.939778,0.531906,0.843537,4.039e-05
19,0.902921,0.51786,0.880952,8.138e-05
20,0.899527,0.527277,0.812925,1.7e-05
21,0.898285,0.555746,0.863946,2.444e-05
22,0.910576,0.52442,0.870748,3.91e-05
23,0.8913,0.556854,0.884354,2.771e-05
24,0.909169,0.55761,0.85034,1.625e-05
25,0.851666,0.557314,0.887755,2.725e-05
26,0.888083,0.559871,0.863946,1.754e-05
27,0.856218,0.555462,0.877551,2.194e-05
28,0.855035,0.56833,0.921769,3.037e-05
29,0.87053,0.55141,0.863946,2.505e-05
30,0.847934,0.558234,0.911565,3.781e-05
31,0.832981,0.546995,0.904762,2.399e-05
32,0.829976,0.54832,0.884354,4.707e-05
33,0.843592,0.574043,0.914966,3.492e-05
34,0.838388,0.561795,0.904762,2.27e-05
35,0.83288,0.54754,0.92517,4.896e-05
36,0.844621,0.564822,0.914966,3.621e-05
37,0.83467,0.55974,0.894558,2.672e-05
38,0.809831,0.57709,0.901361,2.095e-05
39,0.806989,0.578323,0.921769,3.355e-05
40,0.854218,0.561773,0.867347,1.769e-05
41,0.829625,0.587417,0.914966,2.422e-05
42,0.828117,0.589945,0.877551,9.64e-06
43,0.825908,0.579782,0.901361,2.49e-05
44,0.836192,0.565055,0.92517,5.329e-05
45,0.831905,0.597179,0.911565,1.693e-05
46,0.842282,0.590361,0.887755,1.784e-05
47,0.840693,0.581312,0.853741,1.716e-05
48,0.8322,0.560619,0.887755,2.3e-05
49,0.818311,0.582096,0.904762,2.581e-05
